"C#","Format","Card Name","Archetype","A+-","A","P","P+-","R","HP","Heroic","Slow","Silence","Disarm","Hidden Types","Mechanics","Flavor","Artist","UUID","Colorpip 1","Colorpip 2","Season tag","CardType","SecondCardUUID"
"13","Skill","Light of Dawn","Knight","-","2","2","+","","","","","Silence","","Ability","Gain a random {Relic}. If you've already gained a {Relic} this game, instead deal 5 damage to each opponent.","On this hallowed day, the Lady will find a new champion.","Septimius Ferdian","a0bb9fc2105947749b6979b04280d84a","White","","S1","Class",""
"14","Skill","Oathstone","Knight","-","1","1","+","2","","","","Silence","","Aura","{Attach} to target empty tile. Opponents {near} {Oathstone} can't expend or pay [n].","Even the wicked are compelled to work no treachery in its shadow.","Dario Marzadori","41ee335face74190b2da0c1ca48d59bb","White","","S1","Class",""
"15","Skill","Proclaim","Knight","-","1","2","+","","","","","","Disarm","Buff","Become {Chivalrous} [c].","A vow is more than a promise. It is a way of life.","Septimius Ferdian","10032966319849a2ad38174d33b95f49","White","","S1","Class",""
"16","Skill","Providence","Knight","","0","2","-","","","H","","","","Ability","Heal yourself 4 HP. After {Providence} is sent to the discard, draw a card.","Take heart, for She watches over you.","Septimius Ferdian","f3ffeb3c9b354d8c97c0a5cf779f69d2","White","","S1","Class",""
"17","Skill","Rebuke","Knight","","0","2","-","1","","","Slow","Silence","Disarm","Instant Ability Debuff","{Counter} target card unless its controller pays 3 {Resources}. If the card is {Countered}, {Disarm 3} [d] them.","The guilty are not always repentant.","Wasan Techawibulchai","1c8be22e2bfa437ea112e812d01c3b58","White","","S1","Class",""
"18","Skill","Reliquary","Knight","-","1","2","-","","","","","Silence","","Ability","You must be {Chivalrous} to play {Reliquary}. Gain a random {Relic}.","The time has come to sacrifice who you are for who you can become.","Ksenia Kozhevnikova","f5d3ae0d93a944e09ecdf49788210ff3","White","","S1","Class",""
"19","Skill","Stand Aside","Knight","-","1","1","-","1","","","Slow","","Disarm","Travel Attack","Deal 6 damage to target enemy. You may {Travel} them one tile.","""Remove thyself from my presence, for there are damsels to be saved!""","Wasan Techawibulchai","bbf97f1d0c694cb38b0ecdcdedf97212","White","","S1","Class",""
"20","Skill","Throw the Gauntlet","Knight","-","1","1","+","","","","Slow","","","Travel","{Travel} another target character one tile towards you, then {Travel} one tile towards them.","""It is a duel you desire? Then it is death you shall have!""","Ksenia Kozhevnikova","76df70c84bf146408da479e2ef05bb68","White","","S1","Class",""
"41","Skill","Ashes to Ashes","Sorcerer","-","2","2","+","","","","","Silence","","Aura","{Attach} to yourself. After an opponent discards a card from their hand, deal 1 damage to them. At the end of your turn, each opponent that has taken 6 or more damage this turn discards a card.","","Ksenia Kozhevnikova","55ffe3a042ec48e18fc4ae2411855b08","Red","","S1","Class",""
"42","Skill","Blur","Sorcerer","","0","1","-","","","","Slow","Silence","","Instant Ability","{Counter} target {Attack} card targeting you unless its controller pays 2 {Resources}.","Your power transcends a simple mortal coil.","Septimius Ferdian","3a6bb067828b4ef084350a2dc4e12f85","Red","","S1","Class",""
"43","Skill","Chaos Storm","Sorcerer","-","1","2","-","2","","","","Silence","","Aura","{Attach} to target empty tile. At the end of your turn, deal 4 damage to each enemy {near} {Chaos Storm}. Each opponent dealt damage this way discards a card. If no enemies are {near} {Chaos Storm}, instead {Reattach} it to a nearby empty tile.","","Wasan Techawibulchai","caa66e266c46425aac8e8e12216ec847","Red","","S1","Class",""
"44","Skill","Embercrash","Sorcerer","-","2","2","+","2","","","","Silence","Disarm","Ability Attack","Deal 7 damage to target enemy. Make two tiles {near} them {Enchanted Terrain} [et].","""You think you're getting out of this alive? Think again.""","Wasan Techawibulchai","ec2ac80672c54c989d286828af286b96","Red","","S1","Class",""
"45","Skill","Enfeeble","Sorcerer","-","1","1","+","2","","","","","Disarm","Debuff Attack","Deal 4 damage to target enemy. {Slow 1} [o] them.","The rivalry betwixt wizard and sorcerer is a bitter and prideful struggle.","Lucas Torquato","422cd171e0c249c2b00ca6c624ed9565","Red","","S1","Class",""
"46","Skill","Flare","Sorcerer","-","1","1","+","2","","","","Silence","","Ability","Make target tile {Enchanted Terrain}, then {Stun} each opponent near that tile. After {Flare} is sent to the discard, {Stun} each opponent. <(They each lose a resource of their choice.)>","Stray magic can only truly be cultivated by those with innate power.","Leo Aveiro","7d5103c6c2184ba2900a0b4584f49b3c","Red","","S1","Class",""
"47","Skill","Flick of the Wrist","Sorcerer","-","1","1","+","2","","","","Silence","Disarm","Ability Attack","Deal 4 damage to target enemy. They discard a card.","""I craft this world in my image. You may find it hard to fit in.""","Benjamin Goutte","d6d12d00f5684dc1b292e0aef5911dff","Red","","S1","Class",""
"48","Skill","Glare","Sorcerer","-","1","1","+","2","","","Slow","Silence","Disarm","Instant Ability Debuff","{Slow 1} [o] target opponent. If you played {Glare} in response to a card affected by {Slow}, gain [a].","""You will not move. You will not even blink.""","Septimius Ferdian","559c682764464631b987996c707d3b04","Red","","S1","Class",""
"49","Skill","Inner Fire","Sorcerer","","0","1","+","","","","","Silence","","Ability","You may only play {Inner Fire} if you have [p] [p] or less. Draw a card.","""I may be struck down and cast out, but they will never take what burns in my heart.""","Lucas Torquato","6ebc279a526d4cc1874b323c836fee85","Red","","S1","Class",""
"50","Skill","Ire","Sorcerer","","0","2","-","","","H","","","","Ability","Draw two cards. Then, each player discards a card.","Never underestimate the depths of a sorcerer's grudge.","Wasan Techawibulchai","bdb7f97f5ef54b1183ada6a04f7034ac","Red","","S1","Class",""
"51","Skill","Lash Out","Sorcerer","","0","2","-","","","","Slow","Silence","","Instant Travel Ability","{Travel} each other character one tile away from you. Draw a card.","""Get away from me! You don't understand!""","Ksenia Kozhevnikova","34446316127443759718000f22068e86","Red","","S1","Class",""
"52","Skill","Make So","Sorcerer","-","1","1","+","2","","H","","","","Ability","Choose one: - {Destroy} target card. - You may play a card. It gains {Heroic} [h]. <(It ignores control.)>","""A sorcerer simply wishes it to be and it is so. What you claim to create is fleeting.""","Wasan Techawibulchai","c6bda60d8ea748059b1c80bdc7295a39","Red","","S1","Class",""
"53","Skill","Melt","Sorcerer","-","1","2","-","2","","","","","Disarm","Attack","Deal 6 damage to target enemy. {Unleash} - deal 2 more damage to them and 1 damage to yourself per extra [p] spent.","Sorcerers often lose control and destroy even themselves in bouts of rage.","Alexandra Schastlivaya","a086014a98a141848685d89b7502db48","Red","","S1","Class",""
"54","Skill","Rip Magic","Sorcerer","-","1","3","+","2","","","","Silence","","Ability","Choose one: - Put the top five cards of your deck into your discard. - Remove target {Terrain}.","""From where power comes matters not. I will have my revenge!""","Wasan Techawibulchai","b2ac716d5a634c9d94b62996c9220cc4","Red","","S1","Class",""
"55","Skill","Scorn","Sorcerer","-","1","1","-","2","","","","","Disarm","Debuff Attack","Deal 5 damage to target enemy. {Unleash} - apply an instance of {Control} to them for each extra [p] spent.","""I will pluck the courage from your heart, knight.""","Septimius Ferdian","7884d7ef29bb498b9ce014a4acfe704c","Red","","S1","Class",""
"56","Skill","Singe","Sorcerer","-","1","1","+","2","","","","","Disarm","Debuff","{Slow 1} [o], {Silence 1} [i] and {Disarm 1} [d] target opponent {near} a tile with {Terrain}.","Burn victims were common at the Academy before sorcery was prohibited.","Wasan Techawibulchai","a3626f90abad4db1928f5d819e619722","Red","","S1","Class",""
"57","Skill","Sorcery","Sorcerer","","0","4","-","","","","","Silence","","Aura","{Attach} to yourself. When you're {Uncontrolled} and have no [p], gain [p].","""I need more magic... I need more power...""","Leo Aveiro","21fec333ddce4c7b80ebd09ee58a55f7","Red","","S1","Class",""
"58","Skill","Warpfire","Sorcerer","-","1","2","-","2","","","","Silence","Disarm","Ability Attack","Deal 5 damage to target enemy. {Stun} them. <(They lose a resource of their choice.)> Gain a {Resource} of each type they did not lose.","","Benjamin Goutte","6535977fdd6843529b1630ecd18ded21","Red","","S1","Class",""
"59","Skill","Wild Magic","Sorcerer","-","1","1","+","2","","","","Silence","","Aura","{Attach} to target empty tile. At the end of your turn, deal 3 damage to each enemy {near} {Wild Magic}.","Sorcerers command power much older and far greater than the magic of the Academy.","Dario Marzadori","a062d6a1de5c4f8aa0bec56af078fb74","Red","","S1","Class",""
"60","Skill","Wither","Sorcerer","-","1","1","+","2","","","","Silence","Disarm","Ability Debuff","{Disarm 2} [d] target opponent. They discard a card.","""Bend the knee to your better, knight.""","Lucas Torquato","5dc3648c6290412c907bdc829b84ab61","Red","","S1","Class",""
"61","Skill","Arcane Lock","Wizard","","0","2","-","3","","","","Silence","","Aura","{Cantrip} <(You may pay [n] to play this.)> {Attach} to target card you control. After that card is destroyed, you may play it for {free}, drawing {range} [r] from the tile it was in.","","Wasan Techawibulchai","f3912429aed746bf81bdc261ddaeb72b","Blue","","S1","Class",""
"62","Skill","Befuddle","Wizard","-","1","1","+","3","","","","","Disarm","Debuff","{Cantrip} <(You may pay [n] to play this.)> {Slow 1} [o] and {Silence 2} [i] target opponent.","""W-woah... I've never seen the stars up so close before...""","Septimius Ferdian","86f3a13ec99140dd889d76014fc12166","Blue","","S1","Class",""
"63","Skill","Comet","Wizard","-","2","4","-","3","","","","Silence","","Ability","Deal 13 damage to each character {near} target tile. Make each tile {near} that tile {Enchanted Terrain} [et].","The stars align to conjure such power only once every millenia.","Septimius Ferdian","55f5736380894b918ae565673c84177e","Blue","","S1","Class",""
"64","Skill","Cosmic Blast","Wizard","-","1","3","-","3","","","","","Disarm","Attack","{Cantrip} <(You may pay [n] to play this.)> Deal 8 damage to target enemy. If you paid [n] to play {Cosmic Blast}, instead deal 4 damage to them.","","Wasan Techawibulchai","6a8224089e994639b2270093796f7254","Blue","","S1","Class",""
"65","Skill","Dismiss","Wizard","-","1","1","+","3","","","","Silence","Disarm","Ability Attack","Choose one: - {Destroy} target card. - Deal 3 damage to target enemy.","It's a gamble whether an Academy tome will be helpful or pesky.","Wasan Techawibulchai","48e2b3b1f9b6474f94084c91af6998ed","Blue","","S1","Class",""
"66","Skill","Eureka","Wizard","","0","3","-","","","","","Silence","","Ability","{Cantrip} <(You may pay [n] to play this.)> Draw two cards.","""Yes, of course, the answer lies in the Ley! Musn't it, Featherface?""","Alexandra Schastlivaya","acd83e307e444849a7446222aa3b0708","Blue","","S1","Class",""
"67","Skill","Flux","Wizard","-","1","1","+","","","","","","Disarm","Buff","{Attach} to yourself. After an opponent resolves a card targeting you, {Slow 1} [o] them. At the start of your turn, if an opponent is {Slowed}, {Destroy} {Flux} and gain [a].","","Septimius Ferdian","47b15ce80a3c4caf83e42c5c4c5c0c74","Blue","","S1","Class",""
"68","Skill","Leyline","Wizard","-","1","1","+","2","","","","Silence","","Ability Aura","Make target empty tile {Enchanted Terrain} [et], then {Attach} {Leyline} to that tile. While you're in {Leyline}, increase your cards' {Range} [r] by one.","The Ley offers power that transcends realms.","Wasan Techawibulchai","6c8bd309f4fb4c019598547395934afe","Blue","","S1","Class",""
"69","Skill","Magic Missiles","Wizard","-","1","1","+","3","","","","","Disarm","Attack","{Cantrip} <(You may pay [n] to play this.)> Deal 4 damage to target enemy.","""Time to put my studies to the test!""","Benjamin Goutte","acc46d8d4ce24033b38724788d6f3390","Blue","","S1","Class",""
"70","Skill","Manafold","Wizard","-","1","2","+","","","","","Silence","","Ability","Gain [n].","Multiple Academy courses are devoted to the proper folding of magical properties.","Wasan Techawibulchai","de72e0d8bc4f4c77b79e3fd0ef7caaf3","Blue","","S1","Class",""
"71","Skill","Quicken","Wizard","","0","1","-","","","","Slow","Silence","","Instant Ability","Gain [n], then you may play a card. <(That card doesn't need the instant icon!)>","Weaving magic is not easy. Only masters can wield it in battle. ","Wasan Techawibulchai","dd2d13e0be4e4845ac8c71f4f18d7f64","Blue","","S1","Class",""
"72","Skill","Shooting Stars","Wizard","","0","2","-","","","","","Silence","","Aura","{Attach} to yourself. At the start of your turn, deal 2 damage to each opponent.","""Bippity, boppity... boom!""","Wasan Techawibulchai","bfcb958cd33245f9817b61d2d4253407","Blue","","S1","Class",""
"73","Skill","Spellsling","Wizard","-","1","1","-","3","","","","Silence","Disarm","Ability Attack","Deal 5 damage to target enemy. Gain [n].","Some would argue that it's about quantity, not quality.","Lucas Torquato","e0474428505f4f0191bcd40d565fe0c5","Blue","","S1","Class",""
"74","Skill","Spellsteal","Wizard","","0","2","-","3","","","Slow","Silence","","Instant Ability","{Counter} target card unless its controller pays 2 {Resources}. If a card was {Countered} in this way, put that card into your hand.","""Your execution is lacking. Allow me.""","Septimius Ferdian","c05b238a1d554c17a9104291a7dd90d3","Blue","","S1","Class",""
"75","Skill","Starlight","Wizard","-","2","3","+","","","","","Silence","","Ability","If you paid [n] to play a {Cantrip} or gained more than one [n] this turn, gain [a].","Beholding the wonders of magic is a truly marvelous thing.","Septimius Ferdian","04311c5b8b7d41ee9eb0ef003bfc1057","Blue","","S1","Class",""
"76","Skill","Stop","Wizard","","0","3","-","3","","","","Silence","Disarm","Ability Debuff Attack","Deal 3 damage to target enemy. {Slow 3} [o] them. Gain [n].","The Academy strictly forbids students from manipulating time.","Wasan Techawibulchai","e2861266eb704a3b82cf1b529a43157c","Blue","","S1","Class",""
"77","Skill","Telekinesis","Wizard","-","1","1","-","3","","","Slow","","Disarm","Travel Debuff","{Travel} target enemy up to two tiles. {Slow 1} [o] and {Disarm 1} [d] them.","Those that make mischief in the King's Court take substantial risks.","Alexandra Schastlivaya","9e8f459cd430476098f4cac5cf915641","Blue","","S1","Class",""
"78","Skill","Teleport","Wizard","-","1","1","+","2","","","Slow","","","Travel","{Cantrip} <(You may pay [n] to play this.)> {Travel} to another target tile.","Disappearing in a wave of arcane energy after the first lecture of the quarter is a tried and true favorite of Academy professors.","Wojciech Depczyński","4708ac9c7a4245fcb17257a0ebbee3db","Blue","","S1","Class",""
"79","Skill","Unravel","Wizard","-","1","1","+","3","","","Slow","","Disarm","Instant Debuff","{Disarm 1} [d] target opponent.","""No. No! This is madness! This can't be real!""","Lucas Torquato","c805f691cf164c9aaead4880128a19e6","Blue","","S1","Class",""
"80","Skill","Vortex","Wizard","-","2","2","+","2","","","","Silence","","Aura","{Attach} to target empty tile. At the end of your turn, deal 4 damage to each enemy {near} {Vortex} and {Travel} them one tile towards it.","Academy pranks often get out of hand.","Dario Marzadori","e3016d25851e411b95191a4c9fd514df","Blue","","S1","Class",""
"121","Skill","Boon","Saint","","0","2","-","","","H","","","","Ability","Look at the top four cards of your deck. Put one into your hand and the rest into your discard.","The Lady works in mysterious ways.","Septimius Ferdian","9a88d3b40ed1456fb5ab98030b82f133","White","","S1","Spec",""
"122","Skill","Dignity","Saint","-","1","1","+","","","H","","","","Buff","{Attach} to yourself. If you would receive {Control}, instead {Destroy} {Dignity}.","""If I am to die today, I will fall with the Lady at my side.""","Benjamin Goutte","d98d9f93e32c4fae8375697825207848","White","","S1","Spec",""
"123","Skill","Face Me","Saint","","0","1","-","2","","","","Silence","","Ability","{Stun} target opponent. You choose which {Resource} they lose. <(They lose a resource of your choice.)> Draw a card.","""Have you no shame?""","Lucas Torquato","403097f5425949b4a33e3d98a0779a26","White","","S1","Spec",""
"124","Skill","Fiendslayer","Saint","-","2","4","-","1","","","","Silence","Disarm","Ability Attack","Deal 12 damage to target enemy. They discard all but one card from their hand.","""Die, betrayer! Burn in whatever pit awaits you!""","Septimius Ferdian","50a283e213e04c32bc95cfd13ebfca17","White","","S1","Spec",""
"125","Skill","Heaven Strikes","Saint","-","2","2","+","1","","","","","Disarm","Debuff Attack","Deal 6 damage to target enemy. {Disarm 2} [d] them.","""The heavens themselves strike you down!""","Wasan Techawibulchai","eab8ce47575040b38194556f3a9b7792","White","","S1","Spec",""
"126","Skill","Kneel","Saint","-","2","3","+","","","H","","","","Buff","Become {Chivalrous} [c].","""Remember this, knight—in your time of need, I shall be with you once again.""","Ksenia Kozhevnikova","b8d7e60032674a819a47f85bf8b2f2f4","White","","S1","Spec",""
"127","Skill","Purpose","Saint","","0","3","-","","","","","","Disarm","Buff","Become {Chivalrous} [c], then {Attach} to yourself. At the start of your turn, gain [a]. Then, if you are not {Chivalrous}, {Destroy} {Purpose}.","","Septimius Ferdian","e6a579d988974861a27e72576acab9a1","White","","S1","Spec",""
"128","Skill","Reforge","Saint","-","2","2","+","","","","","Silence","","Ability","{Regain} a random {Relic} that you've already gained this game.","A select few Knights of the Chalice wield skills long thought lost.","Wasan Techawibulchai","8aebbf521c4f4321bb3b6fd509a2a4c1","White","","S1","Spec",""
"129","Skill","Sanctify","Saint","-","1","1","+","2","","","","Silence","","Ability","Choose one: - {Destroy} target card. - Heal target character 4 HP.","Through any fire and any fury, a Saint will never abandon their people.","Paolo Cagampan","d1bf00b51b16473c913616134a486172","White","","S1","Spec",""
"130","Skill","Sword of Saints","Saint","-","2","2","+","2","","","","Silence","","Ability Aura","{Stun} each opponent {near} target empty tile, then {Attach} to that tile. At the end of your turn, deal 4 damage to each enemy {near} {Sword of Saints}.","The ethereal blade is granted to those deemed worthy by the Lady.","Wojciech Depczyński","2911c5fa086749209655d09370b5844a","White","","S1","Spec",""
"131","Skill","Cry Havoc","Errant","-","1","1","+","","","","","Silence","","Ability","Use your {Second Wind}. If you've already used your {Second Wind}, each opponent {near} you instead discards two cards.","Let slip the dogs of war!","Wasan Techawibulchai","c9568236b5fc442e8181ade5b0a68cb2","White","Gray","S1","Spec",""
"132","Skill","Cut Down","Errant","","0","2","-","1","","","","","Disarm","Debuff Attack","Deal 4 damage to target enemy. {Disarm 2} [d] them.","""You will find no quarter with me!""","Benjamin Goutte","80a850b67d684a0ca5a24cafb2947d05","White","Gray","S1","Spec",""
"133","Skill","Gallant Strike","Errant","-","1","1","+","1","","","","","Disarm","Buff Attack","Deal 4 damage to target enemy. Become {Chivalrous} [c]. If you're already {Chivalrous}, deal 2 more damage to them.","""The bards shall sing of this in ballads forevermore!""","Septimius Ferdian","788567c27dea4a6abf47002cb5565a6b","White","Gray","S1","Spec",""
"134","Skill","No Mercy","Errant","+","1","1","-","1","","","","","Disarm","Attack","Deal 2 damage to target enemy.","""Damn the code! Honor will stop me no more!""","Septimius Ferdian","4a41f23223a04036a206beadabdbf5a2","White","Gray","S1","Spec",""
"135","Skill","Relic Site","Errant","-","2","2","+","","","","","","Disarm","Buff","{Attach} to target empty tile at least three tiles away from you. After you enter {Relic Site}, {Destroy} {Relic Site} and gain a random {Relic}.","The sites of old scattered across the realm hint at a storied past.","Wasan Techawibulchai","92388cda4e44453e8fc8a3cbf2f2bbd1","White","Gray","S1","Spec",""
"136","Skill","Rite of Arms","Errant","-","1","1","+","2","","","","Silence","","Ability","Choose one: - {Destroy} target card. - Return an {Attack} card from your discard to your hand.","Symbolic relics are laid out before the squire. It is a moment of clarity and truth.","Ksenia Kozhevnikova","64c3910147ed4391a5c84c156c8529bd","White","Gray","S1","Spec",""
"137","Skill","Strike True","Errant","-","1","1","-","1","","H","","","","Attack","Deal 6 damage to target enemy. {Strike True} can't be {Countered}.","""Steel is my grace, and battle my ball!""","Septimius Ferdian","aae0b14f2bfc4b748b6aa1b2ef462bef","White","Gray","S1","Spec",""
"138","Skill","Swordplay","Errant","","0","1","-","1","","","Slow","","Disarm","Instant Debuff","Choose one: - {Slow 2} [o] target opponent. - {Disarm 2} [d] target opponent.","""Try me.""","Septimius Ferdian","607320700c6846c4a7848b9af55d68f1","White","Gray","S1","Spec",""
"139","Skill","To Battle","Errant","-","1","1","+","","","H","","","","Travel","{Travel} up to two tiles towards another target character.","""To battle is to honor Her, so to battle we fly!""","Ksenia Kozhevnikova","d53bd46e66e148e3903dbe751f7826f4","White","Gray","S1","Spec",""
"140","Skill","Wild Steel","Errant","","0","1","-","1","","","","Silence","Disarm","Ability Attack","Deal 3 damage to target enemy. You both discard a card.","Tales are written not of the cautious nor the meek.","Wasan Techawibulchai","a249358747e34cffba2783f0097605d2","White","Gray","S1","Spec",""
"161","Skill","Apotheosis","Invoker","-","1","5","-","","","","","Silence","","Aura","{Attach} to yourself. At the end of your turn, {Invoke}. This doesn't count as a {Second Wind}.","The time of your ascension has come.","Wojciech Depczyński","2ecc168a06304a8ca1f8cb2ed846201c","Red","","S1","Spec",""
"162","Skill","Char","Invoker","","0","3","-","2","","","","Silence","Disarm","Ability Debuff","{Silence 2} [i] and {Disarm 2} [d] target opponent. {Unleash} - they discard a card for each extra [p] spent.","Few burn incidents in Calbria are accidental.","Benjamin Goutte","63afdd40c3d9481cbdd2ce1816d5d661","Red","","S1","Spec",""
"163","Skill","Firepower","Invoker","-","1","1","+","2","","","","Silence","","Ability","Choose one: - {Destroy} target card. - Gain one more [p].","""There is beauty in our strength. Never let them tell you otherwise.""","Wojciech Depczyński","e6f1e6093d2146c5a1575bf317450ce5","Red","","S1","Spec",""
"164","Skill","Flashburn","Invoker","-","1","1","+","2","","","Slow","","Disarm","Instant Debuff Attack","Deal 3 damage to target enemy. {Silence 1} [i] them.","""I've lost everything because of you! It's time you lost something!""","Wasan Techawibulchai","c5aadddf30444b8e8aca1d498271c698","Red","","S1","Spec",""
"165","Skill","Fry","Invoker","-","1","1","-","2","","","","Silence","Disarm","Ability Attack","Deal 5 damage to target enemy. They discard a card.","""I'll melt you within your prison of steel!""","Wasan Techawibulchai","2861f5d0850144cbbd82ad221f4d2f63","Red","","S1","Spec",""
"166","Skill","Inferno","Invoker","-","2","2","-","2","","","","Silence","Disarm","Ability Attack","Deal 8 damage to target enemy. {Unleash} - for each extra [p] spent, put the top card of your deck into your discard. Deal more damage to them equal to the total {Resource} cost of cards put into your discard this way.","","Lucas Torquato","b0f15f9a383d4f248f398d553b501bd0","Red","","S1","Spec",""
"167","Skill","Pyre","Invoker","-","2","4","+","","","H","","","","Ability","{Pyre} can cause you to exceed your max [p].","""You won't find such magnificence at the Academy!""","Paolo Cagampan","a2027614cd5f413994fa24ce4623b311","Red","","S1","Spec",""
"168","Skill","Sear","Invoker","-","1","1","+","2","","","","","Disarm","Debuff Attack","Deal 4 damage to target enemy. {Disarm 1} [d] them.","There is no strategy or discipline. Only an unbridled fury.","Wasan Techawibulchai","363276aac7b6442ab0de986853d850f6","Red","","S1","Spec",""
"169","Skill","Chaos Orb","Invoker","-","1","1","+","2","","","","Silence","","Aura","{Attach} to target empty tile. {Chaos Orb} gains the start and end of turn triggers of all {Non-Chaos Orb} cards attached to tiles {near} it.","The last thing a peasant wants to see at the end of a work day.","Wojciech Depczyński","e281ac5e7c684969853a293d00a97a04","Red","","S1","Spec",""
"170","Skill","Spitfire","Invoker","","0","1","-","2","","","","Silence","Disarm","Ability Attack","Deal 2 damage to target enemy. {Unleash} - deal 1 more damage to them for each extra [p] spent. If you {Unleashed} {Spitfire}, gain 2 [p].","The revenge Invokers seek often leaves them more empty than ever before.","Wasan Techawibulchai","be99575b7ece43e5afd36c7672af38af","Red","","S1","Spec",""
"171","Skill","Begone","Enchantress","-","1","1","+","2","","","Slow","","Disarm","Travel Attack","Deal 4 damage to target enemy. {Travel} them up to one tile away from you.","""Out of my sight. Your words wound me.""","Septimius Ferdian","395d8937e19a49398e8c8e259307b6f3","White","Red","S1","Spec",""
"172","Skill","Ensorcell","Enchantress","-","1","3","-","2","","","","Silence","Disarm","Ability Attack","Deal 6 damage to target enemy. You may play a card, spending any combination of your {Resources} and their {Resources}.","""You belong to me now, darling.""","Wojtek Depczyński","b8c65cb8c73a4300a10264369c4d6457","White","Red","S1","Spec",""
"173","Skill","Hush","Enchantress","-","1","1","+","2","","","","Silence","","Aura","{Attach} to target empty tile. At the end of your turn, {Silence 2} [i] each opponent {near} {Hush}.","Do not make a sound. If there are to be words, she is the first to speak.","Wasan Techawibulchai","2576ea08cd6841b3bf912cc06ece4668","White","Red","S1","Spec",""
"174","Skill","Jaunt","Enchantress","-","1","1","+","2","","","Slow","","","Instant Travel","{Travel} to another target tile {near} {Terrain}.","""Sorry to cut our lovely little romance short, but I really must go.""","Paolo Cagampan","eb2f871b72b143308316281347e8c35c","White","Red","S1","Spec",""
